,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
0,No,,2015.7222222222224,,6,3,,1,1,0,3,5, resEArch DIREcToR ,3,,"16280,83$","42330,17$",7,No,13,"3,0",3,Full Time,0,,5,"3,0",20,15,15,1972,"195370,00$",Yes
1,No,,2063.3888888888887,,1,4,Life Sciences,2,3,0,2,5, ManAGeR ,3,,,"43331,17$",0,,14,"3,0",1,,1,"34,0",5,"3,0",33,11,9,1971,"199990,00$",1
2,No,travel_rarely,1984.253968253968, Research & Development ,4,2,Technical Degree,3,3,0,3,5, ManaGER ,4,Married,,"41669,33$",1,No,11,"3,0",4,,0,"22,0",3,,22,11,15,1981,"192320,00$",1
3,No,travel_rarely,1771.4047619047622,,2,4,Medical,4,1,1,3,4, ReseArCH DIrECtOr ,3,Married,"14307,50$","37199,50$",3,,19,"3,0",2,Full Time,2,,2,,20,5,6,1976,"171690,00$",False
4,No,,1582.7713464696226,,3,3,Technical Degree,5,1,1,4,4, sAleS EXECUtIve ,1,Divorced,"12783,92$","33238,20$",2,No,12,"3,0",4,,1,,5,"3,0",19,2,8,1977,,0
5,No,,1771.920634920635, Research & Development ,22,3,Medical,6,4,1,3,4, MANAger ,4,,"14311,67$","37210,33$",3,No,11,"3,0",2,,1,,3,"3,0",22,4,7,1975,,Yes
6,No,,1032.4872861766066,,25,3,Life Sciences,7,1,1,3,3, Sales ExeCutIVe ,1,,"8339,32$","21682,23$",7,,11,"3,0",4,Part Time,0,"28,0",3,"2,0",21,7,9,1964,"100071,84$",True
7,No,travel_rarely,556.2566609977324,,1,1,,8,2,0,3,2, Sales eXEcUTiVe ,3,Married,,"11681,39$",1,No,25,"4,0",3,Part Time,0,"20,0",3,"3,0",20,11,6,1981,"53914,11$",0
8,No,,1712.1825396825398,,2,5,,9,2,1,3,4, mANAGEr ,1,Married,"13829,17$","35955,83$",7,No,16,"3,0",2,Full Time,1,"22,0",2,"3,0",18,11,8,1982,"165950,00$",True
9,No,travel_frequently,1973.9841269841268,,9,3,,10,1,0,3,5, reSEaRCH DIrectoR ,3,,"15943,72$","41453,67$",2,No,17,"3,0",2,,1,"21,0",2,"4,0",18,0,11,1982,,0
10,No,non-travel,2060.7063492063494,,7,1,,11,2,1,1,5, RESeArcH DIrEctoR ,3,,"16644,17$","43274,83$",1,No,22,"4,0",2,Full Time,2,,3,"3,0",21,5,10,1982,"199730,00$",0
